"","zip","family_size","income_limit","year"
"431","135","11",68591.4625,"2017"
"432","135","NoAnswer",1,"2017"
"433","136","1",26395,"2017"
"434","136","2",30160,"2017"
"435","136","3",33940,"2017"
"436","136","4",37690,"2017"
"437","136","5",40720,"2017"
"438","136","6",43735,"2017"
"439","136","7",46750,"2017"
"440","136","8",49765,"2017"
"441","136","9",57229.75,"2017"
"442","136","10",65814.2125,"2017"
"443","136","11",75686.344375,"2017"
"444","136","NoAnswer",1,"2017"
"445","137","1",23618.75,"2017"
"446","137","2",26981.25,"2017"
"447","137","3",30368.75,"2017"
"448","137","4",33712.5,"2017"
"449","137","5",36418.75,"2017"
"450","137","6",39118.75,"2017"
"451","137","7",41812.5,"2017"
"452","137","8",44512.5,"2017"
"453","137","9",51189.375,"2017"
"454","137","10",58867.78125,"2017"
"455","137","11",67697.9484375,"2017"
"456","137","NoAnswer",1,"2017"
"457","138","1",23618.75,"2017"
"458","138","2",26981.25,"2017"
"459","138","3",30368.75,"2017"
"460","138","4",33712.5,"2017"
"461","138","5",36418.75,"2017"
"462","138","6",39118.75,"2017"
"463","138","7",41812.5,"2017"
"464","138","8",44512.5,"2017"
"465","138","9",51189.375,"2017"
"466","138","10",58867.78125,"2017"
"467","138","11",67697.9484375,"2017"
"468","138","NoAnswer",1,"2017"
"469","139","1",23000,"2017"
"470","139","2",26300,"2017"
"471","139","3",29600,"2017"
"472","139","4",32850,"2017"
"473","139","5",35500,"2017"
"474","139","6",38150,"2017"
"475","139","7",40750,"2017"
"476","139","8",43400,"2017"
"477","139","9",49910,"2017"
"478","139","10",57396.5,"2017"
"479","139","11",66005.975,"2017"
"480","139","NoAnswer",1,"2017"
"481","140","1",23031.25,"2017"
"482","140","2",26300,"2017"
"483","140","3",29600,"2017"
"484","140","4",32862.5,"2017"
"485","140","5",35506.25,"2017"
"486","140","6",38137.5,"2017"
"487","140","7",40762.5,"2017"
"488","140","8",43400,"2017"
"489","140","9",49910,"2017"
"490","140","10",57396.5,"2017"
"491","140","11",66005.975,"2017"
"492","140","NoAnswer",1,"2017"
"493","141","1",23192.8571428571,"2017"
"494","141","2",26485.7142857143,"2017"
"495","141","3",29807.1428571429,"2017"
"496","141","4",33092.8571428571,"2017"
"497","141","5",35757.1428571429,"2017"
"498","141","6",38407.1428571429,"2017"
"499","141","7",41050,"2017"
"500","141","8",43707.1428571429,"2017"
"501","141","9",50263.2142857143,"2017"
"502","141","10",57802.6964285714,"2017"
"503","141","11",66473.1008928571,"2017"
"504","141","NoAnswer",1,"2017"
"505","142","1",30000,"2017"
"506","142","2",34287.5,"2017"
"507","142","3",38575,"2017"
"508","142","4",42837.5,"2017"
"509","142","5",46287.5,"2017"
"510","142","6",49725,"2017"
"511","142","7",53137.5,"2017"
"512","142","8",56575,"2017"
"513","142","9",65061.25,"2017"
"514","142","10",74820.4375,"2017"
"515","142","11",86043.503125,"2017"
"516","142","NoAnswer",1,"2017"
"517","143","1",31658.3333333333,"2017"
